Date,Close,Open,High,Low,Volumn
2018-02-23,123500,123500,124000,122000,300.33K
2018-02-22,123500,124500,125000,122000,304.86K
2018-02-21,124500,123500,125500,122000,395.23K
2018-02-20,123000,124000,124500,121500,286.74K
2018-02-19,124000,126000,126000,123000,415.55K
2018-02-18,122500,122500,122500,122500,-
2018-02-14,122500,119500,125000,119000,856.03K
2018-02-13,119000,120000,121000,118500,708.13K
2018-02-12,118000,119000,120000,116500,812.37K
2018-02-11,118000,118000,118000,118000,-
2018-02-09,118000,121500,124500,117000,2.06M
2018-02-08,126500,127000,130000,124500,1.01M
2018-02-07,126500,134000,134500,126500,999.84K
2018-02-06,131000,126500,131000,125000,1.75M
2018-02-05,134500,139500,140000,134500,1.52M
2018-02-04,143500,143500,143500,143500,-
2018-02-02,143500,142000,145000,141500,1.87M
2018-02-01,141500,140000,142000,137500,908.23K
2018-01-31,140000,137500,140000,135000,937.88K
2018-01-30,138500,139000,140500,137500,638.40K
2018-01-29,139000,141000,141500,138500,704.10K
2018-01-28,140000,140000,140000,140000,-
2018-01-26,140000,136000,141000,135000,1.27M
2018-01-25,135000,135000,137500,134500,646.52K
2018-01-24,135000,136500,138000,134500,758.45K
2018-01-23,136500,135500,138000,135000,959.97K
2018-01-22,135500,138000,139000,135000,810.72K
2018-01-21,138000,138000,138000,138000,-
2018-01-19,138000,136000,139000,134000,1.13M
2018-01-18,135500,134500,138500,134000,1.96M
2018-01-17,134000,139000,139000,133000,2.40M
2018-01-16,140500,144500,145000,140000,1.07M
2018-01-15,145000,141500,147500,141500,1.25M
2018-01-14,140500,140500,140500,140500,-
2018-01-12,140500,145500,145500,139000,1.37M
2018-01-11,140500,142000,146500,138000,2.41M
2018-01-10,149500,156000,158500,148000,1.64M
2018-01-09,157000,158000,160000,154500,1.01M
2018-01-08,159500,160500,162500,158000,1.47M
2018-01-07,156000,156000,156000,156000,-
2018-01-05,156000,157000,158000,152000,1.06M
2018-01-04,156000,152500,159000,149500,2.25M
2018-01-03,149000,150500,151000,145500,1.15M
2018-01-02,146500,140000,147000,139500,1.34M
2018-01-01,137000,137000,137000,137000,-
2017-12-28,137000,139500,141500,134500,944.40K
2017-12-27,139500,130000,140000,129500,1.56M
2017-12-26,126000,130500,130500,125000,725.51K
2017-12-25,129500,129500,129500,129500,-
2017-12-22,129500,128000,130500,126500,584.48K
2017-12-21,129000,134000,134000,129000,712.31K
2017-12-20,133500,135000,137500,133500,389.23K
2017-12-19,135500,133500,136500,131500,679.30K
2017-12-18,134500,138000,139500,133500,1.46M
2017-12-17,142500,142500,142500,142500,-
2017-12-15,142500,144500,145000,142000,306.22K
2017-12-14,144000,142000,145000,142000,638.68K
2017-12-13,141000,141000,142000,138500,282.39K
2017-12-12,141000,139500,143500,138000,439.92K
2017-12-11,140000,140500,140500,138000,283.64K
2017-12-10,138500,138500,138500,138500,0.73K
2017-12-08,138500,137000,140500,137000,563.21K
2017-12-07,135500,138000,139000,133000,812.09K
2017-12-06,138000,139500,143000,138000,467.02K
2017-12-05,140500,139000,141000,134000,732.94K
2017-12-04,139500,140500,143000,138500,479.65K
2017-12-03,140000,140000,140000,140000,1.25K
2017-12-01,140000,136500,141000,136500,864.63K
2017-11-30,136500,145000,145500,135000,1.78M
2017-11-29,145000,146000,146500,142000,905.80K
2017-11-28,145500,147500,148000,145000,648.99K
2017-11-27,147500,147500,151000,147000,769.55K
2017-11-26,148000,148000,148000,148000,0.22K
2017-11-24,148000,150000,153500,146500,1.15M
2017-11-23,149500,155000,156000,149500,1.17M
2017-11-22,154500,161000,161500,153000,1.71M
2017-11-21,161000,161500,166000,160000,1.24M
2017-11-20,160000,158500,161000,158000,710.50K
2017-11-19,157500,157500,157500,157500,0.06K
2017-11-17,157500,155500,159500,154500,715.38K
2017-11-16,154500,154000,155500,152000,418.66K
2017-11-15,154000,155500,156000,153500,488.97K
2017-11-14,155000,154000,156000,152500,515.08K
2017-11-13,154000,153000,155500,152000,601.75K
2017-11-12,152500,152500,152500,152500,0.74K
